取引日,取引先,勘定科目,税区分,税込金額,税抜金額,消費税額,摘要,請求書番号,登録番号
2025-11-01,株式会社ABC商事,売上高,課税売上10%,165000,150000,15000,CLAUDE SUITE エンタープライズプラン 11月分,INV-2025-0187,T1234567890123
2025-11-01,XYZ株式会社,売上高,課税売上10%,88000,80000,8000,CLAUDE SUITE スタンダードプラン 11月分,INV-2025-0186,T1234567890123
2025-11-01,株式会社GHI製作所,売上高,課税売上10%,165000,150000,15000,CLAUDE SUITE エンタープライズプラン 11月分,INV-2025-0185,T1234567890123
2025-11-01,STU インダストリーズ,売上高,課税売上10%,132000,120000,12000,CLAUDE SUITE プレミアムプラン 11月分,INV-2025-0184,T1234567890123
2025-10-01,株式会社PQR企画,売上高,課税売上10%,88000,80000,8000,CLAUDE SUITE スタンダードプラン 10月分,INV-2025-0183,T1234567890123
2025-10-01,MNO トレーディング,売上高,課税売上10%,55000,50000,5000,CLAUDE SUITE ベーシックプラン 10月分,INV-2025-0182,T1234567890123
2025-10-15,VWX株式会社,売上高,課税売上10%,110000,100000,10000,CLAUDE SUITE プレミアムプラン 10月分,INV-2025-0181,T1234567890123
2025-10-01,株式会社YZA,売上高,課税売上10%,165000,150000,15000,CLAUDE SUITE エンタープライズプラン 10月分,INV-2025-0180,T1234567890123
2025-10-01,BCD コーポレーション,売上高,課税売上10%,88000,80000,8000,CLAUDE SUITE スタンダードプラン 10月分,INV-2025-0179,T1234567890123
2025-09-01,EFG インダストリーズ,売上高,課税売上10%,132000,120000,12000,CLAUDE SUITE プレミアムプラン 9月分,INV-2025-0178,T1234567890123
